ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,ORDERE_YEAR,ORDER_MONTH,ORDER_DAY,ORDER_MONTH_NAME
10107,30,95.7,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Small,2003,2,24,February
10121,34,81.35,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,Reims,France,Small,2003,5,7,May
10134,41,94.74,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,Paris,France,Medium,2003,7,1,July
10145,45,83.26,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,Pasadena,USA,Medium,2003,8,25,August
10159,49,100.0,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2003,10,10,October
10168,36,96.66,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,Burlingame,USA,Medium,2003,10,28,October
10180,29,86.13,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,Lille,France,Small,2003,11,11,November
10188,48,100.0,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,Bergen,Norway,Medium,2003,11,18,November
10201,22,98.57,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,San Francisco,USA,Small,2003,12,1,December
10211,41,100.0,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,Paris,France,Medium,2004,1,15,January
10223,37,100.0,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,2,20,February
10237,23,100.0,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,NYC,USA,Small,2004,4,5,April
10251,28,100.0,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,Newark,USA,Medium,2004,5,18,May
10263,34,100.0,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,Bridgewater,USA,Medium,2004,6,28,June
10275,45,92.83,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Medium,2004,7,23,July
10285,36,100.0,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,Cambridge,USA,Medium,2004,8,27,August
10299,23,100.0,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,Small,2004,9,30,September
10309,41,100.0,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,Stavern,Norway,Medium,2004,10,15,October
10318,46,94.74,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,Allentown,USA,Medium,2004,11,2,November
10329,42,100.0,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Medium,2004,11,15,November
10341,41,100.0,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,Salzburg,Austria,Large,2004,11,24,November
10361,20,72.55,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,Chatswood,Australia,Small,2004,12,17,December
10375,21,34.91,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Small,2005,2,3,February
10388,42,76.36,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,New Bedford,USA,Medium,2005,3,3,March
10403,24,100.0,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,Small,2005,4,8,April
10417,66,100.0,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,Madrid,Spain,Large,2005,5,13,May
10103,26,100.0,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,Stavern,Norway,Medium,2003,1,29,January
10112,29,100.0,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,Large,2003,3,24,March
10126,38,100.0,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,Large,2003,5,28,May
10140,37,100.0,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,Burlingame,USA,Large,2003,7,24,July
10150,45,100.0,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large,2003,9,19,September
10163,21,100.0,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,NYC,USA,Medium,2003,10,20,October
10174,34,100.0,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,Large,2003,11,6,November
10183,23,100.0,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,2003,11,13,November
10194,42,100.0,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",Lyon,France,Large,2003,11,25,November
10206,47,100.0,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,Large,2003,12,5,December
10215,35,100.0,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,Burbank,USA,Medium,2004,1,29,January
10228,29,100.0,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,Cambridge,USA,Medium,2004,3,10,March
10245,34,100.0,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,New Haven,USA,Medium,2004,5,4,May
10258,32,100.0,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Large,2004,6,15,June
10270,21,100.0,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,Chatswood,Australia,Medium,2004,7,19,July
10280,34,100.0,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,Torino,Italy,Large,2004,8,17,August
10291,37,100.0,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,Large,2004,9,8,September
10304,47,100.0,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,Versailles,France,Large,2004,10,11,October
10312,48,100.0,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,2004,10,21,October
10322,40,100.0,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,Nashua,USA,Medium,2004,11,4,November
10333,26,100.0,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,San Francisco,USA,Medium,2004,11,18,November
10347,30,100.0,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,11,29,November
10357,32,100.0,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,12,10,December
10369,41,100.0,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,Brickhaven,USA,Medium,2005,1,20,January
10381,36,100.0,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,San Francisco,USA,Large,2005,2,17,February
10391,24,100.0,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,Small,2005,3,9,March
10411,23,100.0,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,Montreal,Canada,Medium,2005,5,1,May
10424,50,100.0,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,Madrid,Spain,Large,2005,5,31,May
10107,39,99.91,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium,2003,2,24,February
10120,29,96.34,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Small,2003,4,29,April
10134,27,100.0,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,Paris,France,Medium,2003,7,1,July
10145,37,100.0,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,Pasadena,USA,Medium,2003,8,25,August
10159,37,100.0,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2003,10,10,October
